Pad (bar),Temp. (¡ÆC),Feed rate (SLPM),Rinse rate (SLPM),Pde (bar),Recovery (%),Purity (%)
2.5,60,1,1.09,0.08,98.283,79.253
2.5,60,2,1.09,0.08,91.206,85.151
2.5,60,3,1.09,0.08,84.212,89.042
2.5,60,4,1.09,0.08,75.719,91.384
2.5,60,5,1.09,0.08,65.925,92.397
2.5,60,6,1.09,0.08,56.969,92.799
2.5,60,7,1.09,0.08,49.843,93.01
2.5,60,8,1.09,0.08,44.233,93.146
2.5,60,1,0.8,0.08,99.084,68.898
2.5,60,2,0.8,0.08,92.75,78.968
2.5,60,3,0.8,0.08,85.299,84.193
2.5,60,4,0.8,0.08,77.332,86.96
2.5,60,5,0.8,0.08,67.954,88.219
2.5,60,6,0.8,0.08,58.941,88.696
2.5,60,7,0.8,0.08,51.649,88.931
2.5,60,8,0.8,0.08,45.872,89.082
2.5,60,1,1.4,0.08,94.245,88.098
2.5,60,2,1.4,0.08,87.041,92.086
2.5,60,3,1.4,0.08,80.367,94.905
2.5,60,4,1.4,0.08,72.196,96.724
2.5,60,5,1.4,0.08,62.477,97.51
2.5,60,6,1.4,0.08,53.857,97.835
2.5,60,7,1.4,0.08,47.073,98.009
2.5,60,8,1.4,0.08,41.752,98.121
2.5,60,3.55,0.6,0.08,81.78,84.122
2.5,60,3.55,0.8,0.08,81.025,85.929
2.5,60,3.55,1,0.08,80.405,88.635
2.5,60,3.55,1.2,0.08,78.704,92.583
2.5,60,3.55,1.4,0.08,76.138,96.043
2.5,60,3.55,1.6,0.08,71.809,99.156
2.5,60,3.55,1.8,0.08,54.855,99.999
2.5,60,3.55,2,0.08,29.898,99.999
2.5,60,2,0.6,0.08,93,76.63
2.5,60,2,0.8,0.08,92.75,78.968
2.5,60,2,1,0.08,92.045,82.795
2.5,60,2,1.2,0.08,89.988,87.763
2.5,60,2,1.4,0.08,87.041,92.086
2.5,60,2,1.6,0.08,82.825,95.874
2.5,60,2,1.8,0.08,76.342,99.303
2.5,60,2,2,0.08,51.795,99.999
2.5,60,5,0.6,0.08,69.044,86.643
2.5,60,5,0.8,0.08,67.954,88.219
2.5,60,5,1,0.08,66.743,90.712
2.5,60,5,1.2,0.08,64.861,94.286
2.5,60,5,1.4,0.08,62.477,97.51
2.5,60,5,1.6,0.08,56.267,99.975
2.5,60,5,1.8,0.08,39.604,99.999
2.5,60,5,2,0.08,21.601,100
2.5,60,3.55,1.09,0.05,85.725,90.057
2.5,60,3.55,1.09,0.08,79.711,90.511
2.5,60,3.55,1.09,0.1,75.38,90.714
2.5,60,3.55,1.09,0.15,63.953,90.96
2.5,60,3.55,1.09,0.2,52.575,90.995
2.5,60,3.55,1.09,0.25,42.03,90.983
2.5,60,3.55,1.09,0.3,32.575,91.008
2.5,60,3.55,1.09,0.35,24.192,91.117
2.5,60,3.55,1.09,0.4,16.831,91.364
4,60,2,1.24,0.08,97.692,76.881
4,60,3,1.24,0.08,94.027,82.798
4,60,4,1.24,0.08,89.669,87.021
4,60,5,1.24,0.08,84.1,89.905
4,60,6,1.24,0.08,76.501,91.399
4,60,7,1.24,0.08,68.126,91.997
4,60,8,1.24,0.08,60.84,92.31
4,60,9,1.24,0.08,54.807,92.508
4,60,2,1,0.08,98.647,73.09
4,60,3,1,0.08,94.956,79.779
4,60,4,1,0.08,90.17,84.106
4,60,5,1,0.08,84.87,86.871
4,60,6,1,0.08,77.666,88.336
4,60,7,1,0.08,69.4,88.938
4,60,8,1,0.08,62.075,89.228
4,60,9,1,0.08,55.97,89.401
4,60,2,1.5,0.08,96.128,83.745
