Pad (bar),Temp. (¡ÆC),Feed rate (SLPM),Rinse rate (SLPM),Pde (bar),Recovery (%),Purity (%),f_VC
6.4,60,2,1,0.05,99.991,58.9189,1.055673093
6.4,60,2,1.2,0.05,99.9853,61.3214,1.206039713
6.4,60,2,1.4,0.05,99.9742,64.2675,1.369060193
6.4,60,2,1.6,0.05,99.8002,69.6443,1.527904208
6.4,60,2,1.8,0.05,99.2448,75.5137,1.696180072
6.4,60,2,1.9,0.05,98.8822,78.4038,1.785313252
6.4,60,2,2,0.05,98.4454,81.2339,1.877682209
6.4,60,2,2.1,0.05,97.9122,83.996,1.973140528
6.4,60,3.5,1,0.05,98.519,72.56,1.371761633
6.4,60,3.5,1.2,0.05,98.2649,74.6875,1.525276757
6.4,60,3.5,1.4,0.05,97.9483,76.7439,1.692777189
6.4,60,3.5,1.6,0.05,97.4674,80.3081,1.86258165
6.4,60,3.5,1.8,0.05,96.5226,84.9195,2.031593088
6.4,60,3.5,1.9,0.05,95.8843,87.2366,2.119300278
6.4,60,3.5,2,0.05,95.1168,89.5187,2.209456485
6.4,60,3.5,2.1,0.05,94.1898,91.7608,2.302054647
6.4,60,5,1,0.05,95.4695,80.518,1.655440494
6.4,60,5,1.2,0.05,95.0513,82.3832,1.810664555
6.4,60,5,1.4,0.05,94.6377,84.2776,1.978987678
6.4,60,5,1.6,0.05,93.9681,87.6327,2.146862342
6.4,60,5,1.8,0.05,92.706,91.5704,2.314410133
6.4,60,5,1.9,0.05,91.8408,93.5413,2.400755694
6.4,60,5,2,0.05,90.7711,95.4952,2.488832327
6.4,60,5,2.1,0.05,89.4305,97.4205,2.577784124
6.4,60,6.5,1,0.05,90.6887,85.2134,1.89286197
6.4,60,6.5,1.2,0.05,89.94,86.9273,2.04626438
6.4,60,6.5,1.4,0.05,89.1303,89.1302,2.209380159
6.4,60,6.5,1.6,0.05,88.0201,92.6287,2.368872576
6.4,60,6.5,1.8,0.05,86.4667,96.172,2.532979789
6.4,60,6.5,1.9,0.05,85.3931,97.901,2.615549461
6.4,60,6.5,2,0.05,83.4265,99.6145,2.682876109
6.4,60,6.5,2.1,0.05,77.821,99.9652,2.701454753
6.4,60,8,1,0.05,81.7059,87.2541,2.027826762
6.4,60,8,1.2,0.05,80.4838,88.8252,2.172019959
6.4,60,8,1.4,0.05,79.1322,91.1747,2.321905902
6.4,60,8,1.6,0.05,77.535,94.559,2.470750902
6.4,60,8,1.8,0.05,75.521,97.9006,2.623828626
6.4,60,8,1.9,0.05,73.5475,99.3746,2.683050704
6.4,60,8,2,0.05,69.1512,99.9093,2.703030233
6.4,60,8,2.1,0.05,63.6765,99.9743,2.708838939
6.4,60,2,1,0.1,99.8624,60.7111,1.032754667
6.4,60,2,1.2,0.1,99.6252,63.1677,1.184489267
6.4,60,2,1.4,0.1,99.4028,66.5354,1.347415485
6.4,60,2,1.6,0.1,98.7965,72.263,1.507420336
6.4,60,2,1.8,0.1,97.8851,78.2826,1.678642122
6.4,60,2,1.9,0.1,97.3014,81.2065,1.769287296
6.4,60,2,2,0.1,96.6011,84.0497,1.863100371
6.4,60,2,2.1,0.1,95.7475,86.8085,1.95991438
6.4,60,3.5,1,0.1,96.5095,73.9092,1.338017325
6.4,60,3.5,1.2,0.1,96.201,76.0557,1.492857252
6.4,60,3.5,1.4,0.1,95.8978,78.3443,1.661808616
6.4,60,3.5,1.6,0.1,95.1827,82.4553,1.828868629
6.4,60,3.5,1.8,0.1,93.8401,87.1525,1.998556443
6.4,60,3.5,1.9,0.1,92.9533,89.4727,2.08685543
6.4,60,3.5,2,0.1,91.889,91.7521,2.177552301
6.4,60,3.5,2.1,0.1,90.592,93.9894,2.270511905
6.4,60,5,1,0.1,91.8849,81.1541,1.60101387
6.4,60,5,1.2,0.1,91.3922,83.0708,1.757703641
6.4,60,5,1.4,0.1,90.9903,85.4248,1.926808159
6.4,60,5,1.6,0.1,90.1239,89.2557,2.09158581
6.4,60,5,1.8,0.1,88.6208,93.277,2.260048396
6.4,60,5,1.9,0.1,87.5606,95.2621,2.346740459
6.4,60,5,2,0.1,86.1906,97.2163,2.434016256
6.4,60,5,2.1,0.1,84.769,99.3537,2.519875727
6.4,60,6.5,1,0.1,85.3188,85.1412,1.803970497
6.4,60,6.5,1.2,0.1,84.4427,86.9187,1.956921261
6.4,60,6.5,1.4,0.1,83.482,89.594,2.116705732
6.4,60,6.5,1.6,0.1,82.1505,93.3256,2.274142518
6.4,60,6.5,1.8,0.1,80.3277,96.9943,2.437404886
6.4,60,6.5,1.9,0.1,78.9025,98.7836,2.51428975
6.4,60,6.5,2,0.1,74.9051,99.8698,2.552268877
6.4,60,6.5,2.1,0.1,68.4355,99.9734,2.560899795
6.4,60,8,1,0.1,74.9327,86.6226,1.855723249
6.4,60,8,1.2,0.1,73.7891,88.3109,2.044744347
6.4,60,8,1.4,0.1,72.5008,91.0589,2.194767003
6.4,60,8,1.6,0.1,70.9339,94.69,2.345316507
6.4,60,8,1.8,0.1,68.8322,98.2075,2.498332782
6.4,60,8,1.9,0.1,66.3053,99.5791,2.547982017
6.4,60,8,2,0.1,61.493,99.9296,2.561750704
6.4,60,8,2.1,0.1,55.9327,99.9765,2.565887661
6.4,60,2,1,0.15,98.868,62.2713,1.01137344
6.4,60,2,1.2,0.15,98.5781,64.8006,1.164434599
6.4,60,2,1.4,0.15,98.2469,68.6842,1.326672214
6.4,60,2,1.6,0.15,97.3183,74.7156,1.487784058
6.4,60,2,1.8,0.15,95.9643,80.8427,1.66129127
6.4,60,2,1.9,0.15,95.0981,83.7859,1.753032835
